	Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation	peso	tamanho torax
0	1	Spectrogram 1	1	12.30977259	13.185363109	0.0	21873.6	vibra_flor_1	0.0266	1.8
1	2	Spectrogram 1	1	14.524501549000002	16.378693236	0.0	21873.6	vibra_flor_1	0.0266	1.8
2	3	Spectrogram 1	1	25.134598426	26.061694269	0.0	21873.6	vibra_flor_1	0.0266	1.8
3	4	Spectrogram 1	1	26.988790113	27.967391280999998	0.0	22050.0	vibra_flor_1	0.0266	1.8
4	5	Spectrogram 1	1	28.533949852	30.233625565	0.0	22050.0	vibra_flor_1	0.0266	1.8
5	6	Spectrogram 1	1	40.534690494	41.461786338	0.0	22050.0	vibra_flor_1	0.0266	1.8
6	7	Spectrogram 1	1	41.925334259	43.212967375	0.0	22050.0	vibra_flor_1	0.0266	1.8
7	8	Spectrogram 1	1	45.891244257	48.26048919	0.0	21833.824	vibra_flor_1	0.0266	1.8
8	9	Spectrogram 1	1	49.084574385	50.269196852	0.0	22050.0	vibra_flor_1	0.0266	1.8
9	10	Spectrogram 1	1	50.629734123999995	52.020377888999995	0.0	22050.0	vibra_flor_1	0.0266	1.8
