	Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation	peso	tamanho torax
0	1	Spectrogram 1	1	0.0	0.653253968	0.0	22050.0	vibra_flor_1	0.0215	1.92
1	2	Spectrogram 1	1	1.067512582	2.230623306	0.0	22050.0	vibra_flor_1	0.0215	1.92
2	3	Spectrogram 1	1	3.91952381	4.14258614	0.0	21881.679	vibra_flor_1	0.0215	1.92
3	4	Spectrogram 1	1	4.700241967	5.210098722	0.0	21881.679	vibra_flor_1	0.0215	1.92
4	5	Spectrogram 1	1	7.329190862999999	9.225220674	0.0	22050.0	vibra_flor_1	0.0215	1.92
5	6	Spectrogram 1	1	11.153116530999998	12.109097947999999	0.0	22050.0	vibra_flor_1	0.0215	1.92
6	7	Spectrogram 1	1	12.730485869	12.921682152999999	0.0	21867.769	vibra_flor_1	0.0215	1.92
7	8	Spectrogram 1	1	13.240342625	13.495271003	0.0	21867.769	vibra_flor_1	0.0215	1.92
8	9	Spectrogram 1	1	14.642448703	15.056707317	0.0	21845.833	vibra_flor_1	0.0215	1.92
9	10	Spectrogram 1	1	16.859377215	17.432966066	0.0	21845.833	voo	0.0215	1.92
