	Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation	peso	tamanho torax
0	1	Spectrogram 1	1	1.857325535	5.811631512999999	0.0	22050.0	vibra_flor_1	0.0709	2.7
1	2	Spectrogram 1	1	6.141157011000001	12.492012066	151.02700000000002	22050.0	voo	0.0709	2.7
2	3	Spectrogram 1	1	13.240933652999999	14.618949372000001	0.0	22050.0	vibra_flor_2	0.0709	2.7
3	4	Spectrogram 1	1	15.158172915	16.955584723	0.0	21747.945	vibra_flor_2	0.0709	2.7
4	5	Spectrogram 1	1	17.285110221	18.213772988	0.0	21747.945	vibra_flor_2	0.0709	2.7
5	6	Spectrogram 1	1	18.543298485999998	21.029718154	0.0	22050.0	voo	0.0709	2.7
6	7	Spectrogram 1	1	22.467647601	23.306439778	0.0	22050.0	vibra_flor_3	0.0709	2.7
7	8	Spectrogram 1	1	23.995447636999998	24.384886863000002	0.0	21898.972999999998	vibra_flor_3	0.0709	2.7
8	9	Spectrogram 1	1	24.594584906999998	25.373463357	0.0	21898.972999999998	vibra_flor_3	0.0709	2.7
9	10	Spectrogram 1	1	26.152341807	30.975396825	0.0	21898.972999999998	voo	0.0709	2.7
