	Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation	peso	tamanho torax
0	1	Spectrogram 1	1	2.569194989	3.1809080819999997	0.0	21898.972999999998	vibra_flor_1	0.0296	1.9
1	2	Spectrogram 1	1	4.343162958	5.321903907	0.0	22050.0	vibra_flor_1	0.0296	1.9
2	3	Spectrogram 1	1	6.667672711	7.891098896	453.082	21898.972999999998	vibra_flor_1	0.0296	1.9
3	4	Spectrogram 1	1	8.869839844	10.276779957999999	0.0	21898.972999999998	vibra_flor_1	0.0296	1.9
4	5	Spectrogram 1	1	11.683720071	12.417775782	0.0	22050.0	vibra_flor_1	0.0296	1.9
5	6	Spectrogram 1	1	12.968317566	14.803456844000001	0.0	22050.0	vibra_flor_1	0.0296	1.9
6	7	Spectrogram 1	1	17.556165761	19.941846823	0.0	21898.972999999998	vibra_flor_1	0.0296	1.9
7	8	Spectrogram 1	1	20.798245152	23.367440142	0.0	22050.0	vibra_flor_1	0.0296	1.9
8	9	Spectrogram 1	1	24.529695018	25.141408111	0.0	22050.0	vibra_flor_1	0.0296	1.9
9	10	Spectrogram 1	1	26.91537608	28.628172739	0.0	22050.0	vibra_flor_1	0.0296	1.9
10	11	Spectrogram 1	1	30.096284161999996	30.891511182	0.0	22050.0	vibra_flor_1	0.0296	1.9
11	12	Spectrogram 1	1	31.870252130999997	32.481965223	0.0	22050.0	vibra_flor_1	0.0296	1.9
12	13	Spectrogram 1	1	33.399534861999996	34.928817594	0.0	22050.0	vibra_flor_1	0.0296	1.9
13	14	Spectrogram 1	1	54.870664417	55.665891437	0.0	22050.0	voo	0.0296	1.9
