Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	0.397931213	2.904897852	137.812	22050.000	voo
2	Spectrogram 1	1	2.944690974	3.263035944	0.000	21912.188	vibra_flor_1
3	Spectrogram 1	1	3.342622186	7.560693041	0.000	22050.000	voo
4	Spectrogram 1	1	13.688833716	16.434559083	0.000	22050.000	voo
5	Spectrogram 1	1	16.434559083	18.105870176	154.196	21895.804	vibra_flor_2
6	Spectrogram 1	1	18.185456419	18.981318844	0.000	22050.000	voo
7	Spectrogram 1	1	28.452081705	29.486702858	0.000	22050.000	vibra_flor_3
8	Spectrogram 1	1	29.446909737	30.640703375	0.000	21864.706	voo
9	Spectrogram 1	1	34.938360472	36.251533473	214.078	22050.000	voo
10	Spectrogram 1	1	36.331119716	37.047395899	0.000	21812.903	vibra_flor_4
11	Spectrogram 1	1	37.047395899	37.246361505	0.000	21338.710	voo
12	Spectrogram 1	1	37.286154626	38.002430809	0.000	22050.000	vibra_flor_5
