Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	12.309772590	13.185363109	0.000	21873.600	vibra_flor_1
2	Spectrogram 1	1	14.524501549	16.378693236	0.000	21873.600	vibra_flor_1
3	Spectrogram 1	1	25.134598426	26.061694269	0.000	21873.600	vibra_flor_1
4	Spectrogram 1	1	26.988790113	27.967391281	0.000	22050.000	vibra_flor_1
5	Spectrogram 1	1	28.533949852	30.233625565	0.000	22050.000	vibra_flor_1
6	Spectrogram 1	1	40.534690494	41.461786338	0.000	22050.000	vibra_flor_1
7	Spectrogram 1	1	41.925334259	43.212967375	0.000	22050.000	vibra_flor_1
8	Spectrogram 1	1	45.891244257	48.260489190	0.000	21833.824	vibra_flor_1
9	Spectrogram 1	1	49.084574385	50.269196852	0.000	22050.000	vibra_flor_1
10	Spectrogram 1	1	50.629734124	52.020377889	0.000	22050.000	vibra_flor_1
