Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	0.000000000	0.653253968	0.000	22050.000	vibra_flor_1
2	Spectrogram 1	1	1.067512582	2.230623306	0.000	22050.000	vibra_flor_1
3	Spectrogram 1	1	3.919523810	4.142586140	0.000	21881.679	vibra_flor_1
4	Spectrogram 1	1	4.700241967	5.210098722	0.000	21881.679	vibra_flor_1
5	Spectrogram 1	1	7.329190863	9.225220674	0.000	22050.000	vibra_flor_1
6	Spectrogram 1	1	11.153116531	12.109097948	0.000	22050.000	vibra_flor_1
7	Spectrogram 1	1	12.730485869	12.921682153	0.000	21867.769	vibra_flor_1
8	Spectrogram 1	1	13.240342625	13.495271003	0.000	21867.769	vibra_flor_1
9	Spectrogram 1	1	14.642448703	15.056707317	0.000	21845.833	vibra_flor_1
10	Spectrogram 1	1	16.859377215	17.432966066	0.000	21845.833	voo
