Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	1.386594188	3.348117673	0.000	21898.973	voo
2	Spectrogram 1	1	4.295060045	4.836169972	0.000	22050.000	voo
3	Spectrogram 1	1	7.643177717	8.015190792	0.000	21898.973	vibra_flor_1
4	Spectrogram 1	1	9.672339943	13.899761247	0.000	21898.973	vibra_flor_1
5	Spectrogram 1	1	14.576148655	15.692187880	0.000	22050.000	voo
6	Spectrogram 1	1	16.199478436	17.788988846	0.000	22050.000	vibra_flor_2
7	Spectrogram 1	1	17.822808217	25.263069711	302.055	22050.000	voo
8	Spectrogram 1	1	26.040915231	28.543548643	0.000	21898.973	vibra_flor_3
9	Spectrogram 1	1	29.084658570	30.640349610	0.000	22050.000	vibra_flor_3
10	Spectrogram 1	1	31.384375759	34.157564135	0.000	21898.973	voo
