	Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation	peso	tamanho torax
0	1	Spectrogram 1	1	0.39793121299999995	2.904897852	137.812	22050.0	voo	0.4018	6.6
1	2	Spectrogram 1	1	2.944690974	3.263035944	0.0	21912.188	vibra_flor_1	0.4018	6.6
2	3	Spectrogram 1	1	3.3426221860000003	7.560693041	0.0	22050.0	voo	0.4018	6.6
3	4	Spectrogram 1	1	13.688833716	16.434559083	0.0	22050.0	voo	0.4018	6.6
4	5	Spectrogram 1	1	16.434559083	18.105870176	154.196	21895.804	vibra_flor_2	0.4018	6.6
5	6	Spectrogram 1	1	18.185456419	18.981318844	0.0	22050.0	voo	0.4018	6.6
6	7	Spectrogram 1	1	28.452081705	29.486702858	0.0	22050.0	vibra_flor_3	0.4018	6.6
7	8	Spectrogram 1	1	29.446909737	30.640703375	0.0	21864.706000000002	voo	0.4018	6.6
8	9	Spectrogram 1	1	34.938360472	36.251533473	214.078	22050.0	voo	0.4018	6.6
9	10	Spectrogram 1	1	36.331119715999996	37.047395899	0.0	21812.903	vibra_flor_4	0.4018	6.6
10	11	Spectrogram 1	1	37.047395899	37.246361505	0.0	21338.71	voo	0.4018	6.6
11	12	Spectrogram 1	1	37.286154626	38.002430809	0.0	22050.0	vibra_flor_5	0.4018	6.6
